day,start_time,end_time,session_type,class,batch,subject,staff_id
Monday,8:30:00,10:30:00,Practical,SE,SE-1,Workshop Shop 1,9921
Monday,8:30:00,10:30:00,Practical,SE,SE-2,Network Analysis,9235
Monday,8:30:00,10:30:00,Practical,SE,SE-3,Workshop Shop 2,9914
Monday,10:45:00,11:45:00,Lecture,SE,ALL,Network Analysis,9235
Monday,11:45:00,12:45:00,Lecture,SE,ALL,OE-Project Management,10016
Monday,13:30:00,15:30:00,Lecture,SE,SE-1,Marathi,9865
Monday,13:30:00,15:30:00,Practical,SE,SE-2,Workshop Shop 1,9921
Monday,13:30:00,15:30:00,Practical,SE,SE-3,Network Analysis,9235
Monday,15:30:00,17:00:00,Lecture,SE,ALL,Test Subject,9865
Tuesday,8:30:00,10:30:00,Practical,SE,SE-1,Network Analysis,9235
Tuesday,8:30:00,10:30:00,Practical,SE,SE-2,Workshop Shop 2,9914
Tuesday,8:30:00,10:30:00,Practical,SE,SE-3,Numerical Methods & computer programming,9954
Tuesday,10:45:00,11:45:00,Lecture,SE,ALL,Numerical Methods & computer programming,9954
Tuesday,11:45:00,12:45:00,Lecture,SE,ALL,Network Analysis,9235
Tuesday,13:30:00,14:30:00,Lecture,SE,ALL,Fundamentals of data science & machine learning,9921
Tuesday,14:30:00,15:30:00,Lecture,SE,ALL,Industrial Organization & Management,9780
Tuesday,15:30:00,17:00:00,Lecture,SE,ALL,Test Subject,9865
Wednesday,8:30:00,10:30:00,Practical,SE,SE-1,Workshop Shop 2,9914
Wednesday,8:30:00,10:30:00,Practical,SE,SE-2,Numerical Methods & computer programming,9954
Wednesday,8:30:00,10:30:00,Practical,SE,SE-3,Electrical Machine-I,9780
Wednesday,10:45:00,11:45:00,Lecture,SE,ALL,Electrical Machine-I,9780
Wednesday,11:45:00,12:45:00,Lecture,SE,ALL,OE-Project Management,10016
Wednesday,13:30:00,14:30:00,Lecture,SE,ALL,Environmental Awareness for Electrical Engineering,9954
Wednesday,14:30:00,15:30:00,Lecture,SE,ALL,Fundamentals of data science & machine learning,9921
Wednesday,15:30:00,17:00:00,Lecture,SE,ALL,Test Subject,9865
Thursday,8:30:00,10:30:00,Practical,SE,SE-1,Numerical Methods & computer programming,9954
Thursday,8:30:00,10:30:00,Practical,SE,SE-2,Electrical Machine-I,9780
Thursday,8:30:00,10:30:00,Practical,SE,SE-3,Marathi,9865
Thursday,10:45:00,11:45:00,Lecture,SE,ALL,Network Analysis,9235
Thursday,11:45:00,12:45:00,Lecture,SE,ALL,Electrical Machine-I,9780
Thursday,13:30:00,14:30:00,Lecture,SE,ALL,Numerical Methods & computer programming,9954
Thursday,14:30:00,15:30:00,Lecture,SE,ALL,Electrical Machine-I,9780
Thursday,15:30:00,17:00:00,Lecture,SE,ALL,Test Subject,9865
Friday,8:30:00,10:30:00,Practical,SE,SE-1,Electrical Machine-I,9780
Friday,8:30:00,10:30:00,Practical,SE,SE-2,Marathi,9865
Friday,8:30:00,10:30:00,Practical,SE,SE-3,Workshop Shop 1,9921
Friday,10:45:00,11:45:00,Lecture,SE,ALL,Numerical Methods & computer programming,9954
Friday,11:45:00,12:45:00,Lecture,SE,ALL,Fundamentals of data science & machine learning,9921
Friday,13:30:00,14:30:00,Lecture,SE,ALL,OE-Project Management,10016
Friday,14:30:00,15:30:00,Lecture,SE,ALL,Electrical Machine-I,9780
Friday,15:30:00,17:00:00,Lecture,SE,ALL,Test Subject,9865
Saturday,8:30:00,10:30:00,Lecture,SE,ALL,Environmental Awareness for Electrical Engineering,9954
Saturday,10:45:00,11:45:00,Lecture,SE,ALL,Industrial Organization & Management [T],9780
Saturday,11:45:00,12:45:00,Lecture,SE,ALL,Marathi[T],9865
Saturday,13:30:00,15:30:00,Lecture,SE,ALL,EESA Activity,9921
Saturday,15:30:00,17:00:00,Lecture,SE,ALL,Test Subject,9865
Monday,8:30:00,9:30:00,Lecture,TE,ALL,Power System-2,350
